中隆招聘B2证以上货运车司机,货运司机,5人,上海奉浦大道97号,中隆轴承有限公司,其它行业,上市公司,500-999人,诚信等级：,,8小时双休日，包吃住交社保，电话咨询,中隆轴承集团是一家具有全国知名度企业，创建于1990年，位于奉贤奉浦工业园区，待遇优厚，上班环境好，，公司提供包吃住
急聘运输司机包吃住5000以上,货运司机,5人,上海南汇惠南上海市浦东新区惠南镇附近,上海市业赫企业管理有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,有意向者请直接联系本人。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,"上海业赫企业管理有限公司成立于2013年10月，是具有国家企业管理三级企业资质的专业企业管理公司 ，公司成立以来,一直遵循“业主至上、服务第一”的企业宗旨,发扬“团结、务实、开拓、创新”的企 业精神,树立了“以人为本-人性化管理、以客为尊-超越客户满意”的经营理念,创立了具有特色的管理 模式。 展望未来,将一如既往潜心打造自身品牌,不断提高企业的管理运作水平,赢得客户的信任与忠诚, 赢得企业的持续稳健发展。在新的里程里,将以持续超越顾客不断增长的期望为准绳,努力用精致管理和 温馨服务回报社会,继续领行业之新,标行业之异。以昨日的成功作为今日的起点,迈出新的步伐,走向美 好的明天。"
公司急招4米2箱式货车短途有卸货工,货运司机,4人,上海闵行北桥闵行北桥工业园区都会路,威宏科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,岗位职责：有诚意电话联系我哦1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,本公司是一家合资企业，现有员工500人左右，位于奉贤南桥工业园区，主要生产电子，电器等产品，公司待遇优厚，上班环境好，包吃住交社保
公司急招蓝牌小货车驾驶员C照以上,货运司机,4人,上海闵行北桥闵行北桥工业园区都会路,威宏科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,岗位职责：有诚意电话联系我哦1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,本公司是一家合资企业，现有员工500人左右，位于奉贤南桥工业园区，主要生产电子，电器等产品，公司待遇优厚，上班环境好，包吃住交社保
公司急招C1照以上货运司机,货运司机,4人,上海闵行北桥闵行北桥工业园区都会路,威宏科技有限公司,计算机/网络/通信,合资,500-999人,诚信等级：,,岗位职责：有诚意电话联系我哦1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,本公司是一家合资企业，现有员工500人左右，位于奉贤南桥工业园区，主要生产电子，电器等产品，公司待遇优厚，上班环境好，包吃住交社保
货车司机,货运司机,5人,上海嘉定马陆宝安公路2746号,开心学堂,教育/培训,民营,20人以下,诚信等级：,,负责上海市里提货送货，管吃管住。,公司位于上海市普陀区红棉路311弄，现招聘晚托班老师5名，上课时间周一到周五放学到晚上半点半，可兼职也可全职。
百雀羚直招C1证以上货运车司机,货运司机,4人,上海奉浦大道97号,百雀羚有限公司,其它行业,合资,500-999人,诚信等级：,,做五休二，详情电话联系我,百雀羚是一家上市公司，公司生产化妆品为主，拥有先进的日化生产，上班环境好，待遇优厚，包吃住交社保
物流驾驶员,货运司机,2人,上海闵行华漕南华街38弄8号,上海一美物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责:  1 货物运送，服务客户。2 车辆驾驶，保养、清洁。任职资格:  B照，有上岗证，为人诚信、责任心强、能吃苦耐劳。工作时间:  做六休一,上海一美物流有限公司是一家集航空运输、卡车运输、配送、包装、分拣，专业的国内物流公司。为客户提供安全、准时、服务、智慧的物流，因为我们专业。一美物流，最美你我！
化妆品招聘7米2和9米6厢货车司机,货运司机,5人,上海奉贤南桥环城东路900号,上海科斯美斯化妆品有限公司,快速消费品(食品/...,国企,100-499人,诚信等级：,,岗位职责:包吃住交社保户籍不限任职资格:工作时间:,我公司是生产化妆品和化妆品外壳 公司包吃住户籍不限 男女均可
物流驾驶员,货运司机,1人,上海闵行梅陇莲花南路1500弄8-9栋912室,上海环创国际物流股份有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责:岗位职责:1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格:任职资格:1、年龄28-45岁，B2以上驾照，5年以上实际驾驶经验，有货运资格证，熟悉上海本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,上海环创国际物流股份有限公司GHL成立于03年，公司总部设在中国经济最为繁荣的上海市，是一家专业从事物流运输服务的股份制企业。公司以至诚至信，精益求精的服务，取得客户的认可。通过十余年的努力和发展，公司目前已经成为上海股交中心的挂牌公司，公司成功登录上海股交中心E板，为日后的进一步发展打开了广阔的空间。
诚聘货运司机,货运司机,2人,上海都会路1525号,上海邦灿有限公司,贸易/交通/运输/物流,上市公司,20-99人,诚信等级：,,驾驶证需B2以上，有货运资格证，未扣分，已婚者优先，优良品质，有意者请直接拨打联系电话咨询，谢谢！本工作为公司直招,上海邦灿有限公司是一家专业从事冷藏运输行业的运输公司。以“诚信为本，服务至上”的企业文化理念，为邦灿的广大客户提供高品质的服务，以客户的满意度为目标。立志成为冷藏运输行业的领先者，争创一流的道路运输服务品牌。
c1货运司机 4500+提成+包吃住,货运司机,5人,上海松江佘山上海松江区佘山细林路,上海松景物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,道路普通货运，国内道路货运代理，仓储（除危险品），装卸服务，五金交电，汽摩配件，建筑装潢材料，日用百货销售。
苏宁电器招13米17米大货车货运司机,货运司机,4人,上海奉贤南桥南桥工业园区环城东路899号,上海苏宁电器有限公司,贸易/交通/运输/物流,合资,100-499人,诚信等级：,,岗位职责:任职资格:工作时间:8小时双休,公司主要经营，电视，洗衣机，冰箱，空调，全上海有100家门店。
物流货运司机C1 B2+提供食宿,货运司机,5人,上海宝山刘行上海宝山区刘行镇,上海海愈物流有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,运始终坚持以市场为导向，以客户满意为中心，在激烈的市场竞争中积极倡导“诚信全球、追求卓越、奉献社会、实现共赢”的价值理念，运用国际最新服务理念和手段，带动企业服务质量的不断提高，
